discourse_id,essay_id,discourse_text,discourse_type,discourse_effectiveness
c1e2c191b7dc,15F80BF4B3C9,It has been brought to my attention as to which method of voting shall be used in future elections. ,Lead,Adequate
8e0538ba7c01,64F2F1AEDE19,"Luke had the best time of his life being a Seagoing Cowboy he didn't no his life would change so soon after his high school graduation. In 1945 world war 2 made places get ruined so he decied to go to Seagoing Cowboys. He help animals like horses,young cows,and mules too. He had so much to do but he did it and yes it was hard but he did what he was suppossed to do. A Seagoing Cow boy was more than an adventure for Luke. It opened the world up to him. He is gratefull of the opportunity ",Concluding Statement,Adequate
118f0e16923f,1449A333A335,Many people think that the freedom of student-designed projects will allow students to be lazy and off topic ,Counterclaim,Effective
7d71dae9cdbf,01B52B1D14F8,"So, no I don't think it's classroom valuable to use FACS. ",Position,Adequate
ba1d04fe9698,6.49E+11,It is hard to study Venus ,Counterclaim,Adequate
2f67825f5095,4BD93FED6367,"Why would NASA hide groundbreaking news like this? ""Defenders of the NASA budget wish there was anceint civilazation on Mars.""

So why would NASA hide news like this, that would help advance space exploration? ",Rebuttal,Adequate
f1545de8afe9,E4124ED1046C,"In the end, the landform was found to be a Martian mesa. There are many mesa's in the region of Cydonia and that's a part of how we found out how it was a natural landform. Also the Surveyour verified that there wasn't any other monuments near the landform. If there was any life on Mars we would want to tell the people so they can be intrested in the activity at NASA, but for now there has not been found any life activiy on Mars.   ",Concluding Statement,Effective
f6bee86560dc,0FBD2FFA1DDF,"Ever wonder what is a "" Electoral College? Like what is that suppose to mean?, A internet campus, Tech class, or etc. Well its not actually A Electoral college is made for up coming presidents. That differrnt selections of people go and meet the president and vice presdent. The congress. The College consits up to 238 votes and only 270 on select for the presidecny.

The president electron is held evey four yeas an the Tuesday after the first Monday in November. When you are about to select a presdint you vote for your candidan ",Lead,Adequate
4779ec2fcf39,297F3F4B6B58,"yes, maybe the Electoral College could be good for something for like winning ",Counterclaim,Adequate
9c0347c212da,F42FF5B7D208,"However, if the projects were both educational and entertaining, then summer would be that much more enjoyable. It would also allow the content to soak in much better. ",Rebuttal,Effective
41a34afe6a55,0D220BA8BA23,The Facial Action Coding System is a new descoverage of the scientifics. This new descoverage can help in some situation. It can help in many situations with the acception of the person. Fothermore it could be and not helpfull used in school ,Lead,Adequate
